Day,Date,Gross
Fri,2016-11-18,72658.00
Sat,2016-11-19,90040.00
Sun,2016-11-20,93800.00
Mon,2016-11-21,32023.00
Tue,2016-11-22,29989.00
Wed,2016-11-23,41532.00
Thu,2016-11-24,41597.00
Fri,2016-11-25,450244.00
Sat,2016-11-26,457589.00
Sun,2016-11-27,318157.00
Mon,2016-11-28,96024.00
Tue,2016-11-29,106676.00
Wed,2016-11-30,117557.00
Thu,2016-12-01,112057.00
Fri,2016-12-02,665888.00
Sat,2016-12-03,999345.00
Sun,2016-12-04,605678.00
Mon,2016-12-05,197757.00
Tue,2016-12-06,231147.00
Wed,2016-12-07,215586.00
Thu,2016-12-08,194857.00
Fri,2016-12-09,922526.00
Sat,2016-12-10,1401072.00
Sun,2016-12-11,849326.00
Mon,2016-12-12,355794.00
Tue,2016-12-13,435857.00
Wed,2016-12-14,393703.00
Thu,2016-12-15,331826.00
Fri,2016-12-16,1275856.00
Sat,2016-12-17,1719724.00
Sun,2016-12-18,1228248.00
Mon,2016-12-19,606819.00
Tue,2016-12-20,728056.00
Wed,2016-12-21,619771.00
Thu,2016-12-22,676337.00
Fri,2016-12-23,951413.00
Sat,2016-12-24,594526.00
Sun,2016-12-25,1222881.00
Mon,2016-12-26,1534324.00
Tue,2016-12-27,1105513.00
Wed,2016-12-28,1071162.00
Thu,2016-12-29,1029716.00
Fri,2016-12-30,1379010.00
Sat,2016-12-31,1451378.00
Sun,2017-01-01,1415658.00
Mon,2017-01-02,1276660.00
Tue,2017-01-03,607168.00
Wed,2017-01-04,514954.00
Thu,2017-01-05,470878.00
Fri,2017-01-06,743626.00
Sat,2017-01-07,1063558.00
Sun,2017-01-08,711053.00
Mon,2017-01-09,301192.00
Tue,2017-01-10,377666.00
Wed,2017-01-11,320448.00
Thu,2017-01-12,303878.00
Fri,2017-01-13,557697.00
Sat,2017-01-14,831142.00
Sun,2017-01-15,534388.00
Mon,2017-01-16,363998.00
Tue,2017-01-17,187062.00
Wed,2017-01-18,158659.00
Thu,2017-01-19,153772.00
Fri,2017-01-20,244180.00
Sat,2017-01-21,457423.00
Sun,2017-01-22,247307.00
Mon,2017-01-23,115837.00
Tue,2017-01-24,181157.00
Wed,2017-01-25,157323.00
Thu,2017-01-26,162416.00
Fri,2017-01-27,528971.00
Sat,2017-01-28,934697.00
Sun,2017-01-29,607428.00
Mon,2017-01-30,188870.00
Tue,2017-01-31,279459.00
Wed,2017-02-01,213755.00
Thu,2017-02-02,207494.00
Fri,2017-02-03,392857.00
Sat,2017-02-04,695339.00
Sun,2017-02-05,238145.00
Mon,2017-02-06,136581.00
Tue,2017-02-07,189010.00
Wed,2017-02-08,145279.00
Thu,2017-02-09,127964.00
Fri,2017-02-10,181931.00
Sat,2017-02-11,334433.00
Sun,2017-02-12,185890.00
Mon,2017-02-13,76331.00
Tue,2017-02-14,144346.00
Wed,2017-02-15,79989.00
Thu,2017-02-16,77364.00
Fri,2017-02-17,146727.00
Sat,2017-02-18,212327.00
Sun,2017-02-19,166693.00
Mon,2017-02-20,122598.00
Tue,2017-02-21,97191.00
Wed,2017-02-22,72474.00
Thu,2017-02-23,96131.00
Fri,2017-02-24,122441.00
Sat,2017-02-25,267589.00
Sun,2017-02-26,90948.00
Mon,2017-02-27,51992.00
Tue,2017-02-28,66404.00
Wed,2017-03-01,48163.00
Thu,2017-03-02,42482.00
Fri,2017-03-03,67844.00
Sat,2017-03-04,120821.00
Sun,2017-03-05,73519.00
Mon,2017-03-06,29703.00
Tue,2017-03-07,35468.00
Wed,2017-03-08,28331.00
Thu,2017-03-09,24644.00
Fri,2017-03-10,16475.00
Sat,2017-03-11,30697.00
Sun,2017-03-12,20202.00
Mon,2017-03-13,14108.00
Tue,2017-03-14,18449.00
Wed,2017-03-15,14462.00
Thu,2017-03-16,13684.00
Fri,2017-03-17,7818.00
Sat,2017-03-18,12387.00
Sun,2017-03-19,8391.00
Mon,2017-03-20,5785.00
Tue,2017-03-21,8425.00
Wed,2017-03-22,6723.00
Thu,2017-03-23,5126.00
Fri,2017-03-24,4344.00
Sat,2017-03-25,5189.00
Sun,2017-03-26,3552.00
Mon,2017-03-27,2716.00
Tue,2017-03-28,3847.00
Wed,2017-03-29,3121.00
Thu,2017-03-30,3280.00
Fri,2017-03-31,1226.00
Sat,2017-04-01,1710.00
Sun,2017-04-02,1284.00
Mon,2017-04-03,614.00
Tue,2017-04-04,1357.00
Wed,2017-04-05,1467.00
Thu,2017-04-06,1130.00
Fri,2017-04-07,1399.00
Sat,2017-04-08,1540.00
Sun,2017-04-09,2129.00
Mon,2017-04-10,961.00
Tue,2017-04-11,1579.00
Wed,2017-04-12,1249.00
Thu,2017-04-13,1050.00
