DATE,5/1 ARM,15 YR FIXED,30 YR FIXED
2005-01-06,5.03,5.21,5.77
2005-01-13,5.05,5.19,5.74
2005-01-20,5.05,5.15,5.67
2005-01-27,5.02,5.14,5.66
2005-02-03,5,5.14,5.63
2005-02-10,4.99,5.10,5.57
2005-02-17,5.05,5.14,5.62
2005-02-24,5.05,5.22,5.69
2005-03-03,5.17,5.33,5.79
2005-03-10,5.22,5.38,5.85
2005-03-17,5.31,5.47,5.95
2005-03-24,5.35,5.56,6.01
2005-03-31,5.43,5.58,6.04
2005-04-07,5.33,5.48,5.93
2005-04-14,5.31,5.46,5.91
2005-04-21,5.22,5.36,5.80
2005-04-28,5.2,5.33,5.78
2005-05-05,5.16,5.31,5.75
2005-05-12,5.21,5.33,5.77
2005-05-19,5.07,5.27,5.71
2005-05-26,5.07,5.21,5.65
2005-06-02,5.1,5.20,5.62
2005-06-09,5.01,5.14,5.56
2005-06-16,5.1,5.22,5.63
2005-06-23,5.05,5.16,5.57
2005-06-30,5.06,5.12,5.53
2005-07-07,5.19,5.20,5.62
2005-07-14,5.15,5.25,5.66
2005-07-21,5.26,5.32,5.73
2005-07-28,5.27,5.34,5.77
2005-08-04,5.3,5.38,5.82
2005-08-11,5.4,5.47,5.89
2005-08-18,5.34,5.40,5.80
2005-08-25,5.3,5.35,5.77
2005-09-01,5.3,5.32,5.71
2005-09-08,5.24,5.30,5.71
2005-09-15,5.26,5.32,5.74
2005-09-22,5.31,5.37,5.80
2005-09-29,5.44,5.48,5.91
2005-10-06,5.48,5.54,5.98
2005-10-13,5.57,5.62,6.03
2005-10-20,5.59,5.65,6.10
2005-10-27,5.63,5.69,6.15
2005-11-03,5.76,5.85,6.31
2005-11-10,5.81,5.89,6.36
2005-11-17,5.86,5.90,6.37
2005-11-23,5.75,5.81,6.28
2005-12-01,5.76,5.81,6.26
2005-12-08,5.78,5.87,6.32
2005-12-15,5.77,5.85,6.30
2005-12-22,5.82,5.79,6.26
2005-12-29,5.79,5.76,6.22
2006-01-05,5.78,5.76,6.21
2006-01-12,5.76,5.71,6.15
2006-01-19,5.75,5.67,6.10
2006-01-26,5.75,5.70,6.12
2006-02-02,5.87,5.81,6.23
2006-02-09,5.89,5.83,6.24
2006-02-16,5.95,5.91,6.28
2006-02-23,5.96,5.89,6.26
2006-03-02,5.97,5.89,6.24
2006-03-09,6.03,6.00,6.37
2006-03-16,5.93,5.98,6.34
2006-03-23,5.96,5.97,6.32
2006-03-30,6.02,6.00,6.35
2006-04-06,6.11,6.10,6.43
2006-04-13,6.13,6.14,6.49
2006-04-20,6.16,6.17,6.53
2006-04-27,6.21,6.21,6.58
2006-05-04,6.21,6.22,6.59
2006-05-11,6.22,6.17,6.58
2006-05-18,6.23,6.20,6.60
2006-05-25,6.21,6.23,6.62
2006-06-01,6.26,6.26,6.67
2006-06-08,6.2,6.23,6.62
2006-06-15,6.23,6.25,6.63
2006-06-22,6.32,6.36,6.71
2006-06-29,6.39,6.43,6.78
2006-07-06,6.39,6.44,6.79
2006-07-13,6.33,6.37,6.74
2006-07-20,6.36,6.41,6.80
2006-07-27,6.35,6.34,6.72
2006-08-03,6.27,6.27,6.63
2006-08-10,6.21,6.20,6.55
2006-08-17,6.18,6.20,6.52
2006-08-24,6.14,6.18,6.48
2006-08-31,6.11,6.14,6.44
2006-09-07,6.14,6.16,6.47
2006-09-14,6.1,6.11,6.43
2006-09-21,6.08,6.06,6.40
2006-09-28,6,5.98,6.31
2006-10-05,6,5.98,6.30
2006-10-12,6.1,6.06,6.37
2006-10-19,6.11,6.06,6.36
2006-10-26,6.14,6.10,6.40
2006-11-02,6.05,6.02,6.31
2006-11-09,6.08,6.04,6.33
2006-11-16,6.04,5.94,6.24
2006-11-22,5.99,5.91,6.18
2006-11-30,5.95,5.87,6.14
2006-12-07,5.92,5.84,6.11
2006-12-14,5.92,5.86,6.12
2006-12-21,5.96,5.89,6.13
2006-12-28,5.98,5.93,6.18
2007-01-04,6.02,5.94,6.18
2007-01-11,6.03,5.96,6.21
2007-01-18,6.04,5.98,6.23
2007-01-25,6,5.98,6.25
2007-02-01,6.04,6.06,6.34
2007-02-08,5.99,6.02,6.28
2007-02-15,6.01,6.03,6.30
2007-02-22,5.96,5.97,6.22
2007-03-01,5.93,5.92,6.18
2007-03-08,5.9,5.86,6.14
2007-03-15,5.9,5.88,6.14
2007-03-22,5.91,5.90,6.16
2007-03-29,5.88,5.86,6.16
2007-04-05,5.92,5.87,6.17
2007-04-12,5.93,5.90,6.22
2007-04-19,5.92,5.89,6.17
2007-04-26,5.88,5.87,6.16
2007-05-03,5.87,5.87,6.16
2007-05-10,5.89,5.87,6.15
2007-05-17,5.92,5.92,6.21
2007-05-24,6.02,6.06,6.37
2007-05-31,6.19,6.12,6.42
2007-06-07,6.24,6.22,6.53
2007-06-14,6.37,6.43,6.74
2007-06-21,6.31,6.37,6.69
2007-06-28,6.3,6.34,6.67
2007-07-05,6.29,6.30,6.63
2007-07-12,6.35,6.39,6.73
2007-07-19,6.35,6.38,6.73
2007-07-26,6.3,6.37,6.69
2007-08-02,6.29,6.32,6.68
2007-08-09,6.33,6.25,6.59
2007-08-16,6.35,6.30,6.62
2007-08-23,6.34,6.18,6.52
2007-08-30,6.35,6.12,6.45
2007-09-06,6.32,6.15,6.46
2007-09-13,6.17,5.97,6.31
2007-09-20,6.21,5.98,6.34
2007-09-27,6.15,6.09,6.42
2007-10-04,6.11,6.03,6.37
2007-10-11,6.12,6.06,6.40
2007-10-18,6.11,6.08,6.40
2007-10-25,6.03,5.99,6.33
2007-11-01,5.98,5.91,6.26
2007-11-08,5.89,5.90,6.24
2007-11-15,5.96,5.88,6.24
2007-11-21,5.88,5.83,6.20
2007-11-29,5.86,5.73,6.10
2007-12-06,5.75,5.65,5.96
2007-12-13,5.89,5.78,6.11
2007-12-20,5.9,5.79,6.14
2007-12-27,5.9,5.79,6.17
2008-01-03,5.78,5.68,6.07
2008-01-10,5.63,5.43,5.87
2008-01-17,5.4,5.21,5.69
2008-01-24,5.13,4.95,5.48
2008-01-31,5.32,5.17,5.68
2008-02-07,5.21,5.15,5.67
2008-02-14,5.19,5.25,5.72
2008-02-21,5.37,5.64,6.04
2008-02-28,5.43,5.72,6.24
2008-03-06,5.34,5.47,6.03
2008-03-13,5.58,5.60,6.13
2008-03-20,5.56,5.27,5.87
2008-03-27,5.67,5.34,5.85
2008-04-03,5.59,5.42,5.88
2008-04-10,5.56,5.42,5.88
2008-04-17,5.48,5.40,5.88
2008-04-24,5.68,5.62,6.03
2008-05-01,5.73,5.59,6.06
2008-05-08,5.67,5.60,6.05
2008-05-15,5.57,5.60,6.01
2008-05-22,5.61,5.55,5.98
2008-05-29,5.62,5.66,6.08
2008-06-05,5.51,5.65,6.09
2008-06-12,5.7,5.93,6.32
2008-06-19,5.89,6.02,6.42
2008-06-26,5.99,6.04,6.45
2008-07-03,5.78,5.92,6.35
2008-07-10,5.82,5.91,6.37
2008-07-17,5.8,5.78,6.26
2008-07-24,6.16,6.18,6.63
2008-07-31,6.07,6.07,6.52
2008-08-07,6.05,6.10,6.52
